t	pose_x	pose_y	pose_theta	linear_displacement	linear_velocity	profile_displacement	profile_velocity	velocity_command_dx	velocity_command_dy	velocity_command_dtheta	steering_command_dx	steering_command_dy	steering_command_dtheta	cross_track_error	along_track_error	lookahead_point_x	lookahead_point_y	lookahead_point_velocity
250.696812	217.3454617293	93.2430887814	2.8471555941	12.5748075087	0	11.9257915083	0	-4.1611342737	0	0.064133061	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.703083	217.3454617293	93.2430887814	2.8471555941	12.5748075087	0	11.9257915083	0	-4.1774908412	0	0.0643851549	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.706342	217.3454617293	93.2430887814	2.8471555941	12.5748075087	0	11.9257915083	0	-4.1939108629	0	0.0646382269	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.708407	217.3454617293	93.2430887814	2.8471555941	12.5748075087	0	11.9257915083	0	-4.2103710911	0	0.0648919185	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.711217	217.3454617293	93.2430887814	2.8471555941	12.5748075087	0	11.9257915083	0	-4.2268860315	0	0.0651464533	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.713971	217.3454617293	93.2430887814	2.8471555941	12.5748075087	0	11.9257915083	0	-4.2434545935	0	0.0654018146	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.717253	217.3454617293	93.2430887814	2.8471555941	12.5748075087	0	11.9257915083	0	-4.2600870576	0	0.0656581608	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.720251	217.3454617293	93.2430887814	2.8471555941	12.5748075087	0	11.9257915083	0	-4.2767778942	0	0.0659154066	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.724421	217.3454617293	93.2430887814	2.8473301311	12.5748075087	0	11.9257915083	0	-4.2935499228	0	0.0661739038	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.730151	217.3454617293	93.2430887814	2.8473301311	12.5748075087	0	11.9257915083	0	-4.3104335172	0	0.0664341205	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.735194	217.3454617293	93.2430887814	2.847504668	12.5748075087	0	11.9257915083	0	-4.3274153012	0	0.0666958505	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.746253	217.3454617293	93.2430887814	2.847504668	12.5748075087	0	11.9257915083	0	-4.3446124092	0	0.0669608992	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.753242	217.3454617293	93.2430887814	2.847504668	12.5748075087	0	11.9257915083	0	-4.3619455965	0	0.0672280452	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.758165	217.3454617293	93.2430887814	2.847504668	12.5748075087	0	11.9257915083	0	-4.3793746369	0	0.0674966685	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.769139	217.3454617293	93.2430887814	2.847504668	12.5748075087	0	11.9257915083	0	-4.3970173463	0	0.067768585	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.776131	217.3454617293	93.2430887814	2.8473301311	12.5748075087	0	11.9257915083	0	-4.4147961934	0	0.0680425997	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
250.781164	217.3454617293	93.2430887814	2.8473301311	12.5748075087	0	11.9257915083	0	-4.4326730354	0	0.0683181247	11.9257915083	0	-0.1838050551	3.6602626924	-0.6490160004	214.2784285822	95.3101309515	-7.105427357601002E-15
